target,base,pair,chain,blocknum,wbnb_reserve
0xdfdec49462f7d3c3b0a48e729f77a0645cdfa7c0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x463F572c27e0Ca7A0b78Dd8A1Ef310E6Bda05531,bsc,25543755,117.67713835216827
0x7969dc3c6e925bccbea9f7fc466a63c74f0115b8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xdeA781bFDAf150a0cfe89D0BEbd9ab7baA548F37,bsc,25543755,241.43983020670103
0x107961c9db688f1bc1fb095c5e7ea6ae876373e8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x79add475f5e5Ef049BcaffbCA5aca28d7951F105,bsc,25543755,129.77536994663848
0xf4b5470523ccd314c6b9da041076e7d79e0df267,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x538e61bD3258304e9970f4f2DB37A217f60436e1,bsc,25543755,102.83204231645031
0x36db129506fe81da7ce085648ff9c7a0d5e31ed2,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xC83AC726A9409c8518444bD19e818Ed61f3459F9,bsc,25543755,195.79677237867014
0xc9bcf3f71e37579a4a42591b09c9dd93dfe27965,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xaBCB20886B4749205198d627FF6ccFdffFe97112,bsc,25543755,223.97245061665532
0x1ce0c2827e2ef14d5c4f29a091d735a204794041,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x151268db1579ebC5306D4aAa5DCC627646E6986F,bsc,25543755,253.3261957541801
0xa656f993bd14b2b59a28d1e610476ad18849b107,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x38b5CC18a8AB19D87Cd8248a9155DFd442cA321C,bsc,25543755,472.3287022755357
0x9d70a3ee3079a6fa2bb16591414678b7ad91f0b5,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xFa180F7bc3f4718d1DBDdfCab73b48c063D3087F,bsc,25543755,809.9932921497301
0x52419258e3fa44deac7e670eadd4c892b480a805,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0Ffd12339aECD9c73aD1Ddf216Dc20A7bC765974,bsc,25543755,588.0651493307536
0xb74ed4112c23b7c8ef1439fa55d304d537c5599b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xA4CCE27a7404f4E80aDb7f2b65AB5d1Df07256f8,bsc,25543755,314.74302093620656
0xf0902eb0049a4003793bab33f3566a22d2834442,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xcC4D5F99C6493cf8d4AF39B9Aa0F2A2eCEd15934,bsc,25543755,127.04564413525527
0xf68c9df95a18b2a5a5fa1124d79eeeffbad0b6fa,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xBC7b181f304407f621EFBD93562aFC68e497Db7e,bsc,25543755,117.56527272050052
0x0b651683b2ce1b0e10c8ab09390a03a3cd84fc17,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeD79EE092a74b9cA3aa2ef79dA9704AC16F6e7B1,bsc,25543755,100.46990241195029
0x8263cd1601fe73c066bf49cc09841f35348e3be0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x3C7e7122f4DDcfC5b5c31b5c735Ce2Ae3b015856,bsc,25543755,2055.1800528275035
0x683b98716c1bde0d7de9362ec304e7f81a6c68ab,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x143ED5C10457dC006C074DddaC2c4bC8c0c5C232,bsc,25543755,167.04482884139495
0xc0366a104b429f0806bfa98d0008daa9555b2bed,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xFD94E36C1F84dD91Df47600697484Ba014862c76,bsc,25543755,2905.249936754757
